Contract No.,Contract Date (dd/mm/yyyy) *,Client Name *,Client Address *,Country Code *,Mode Of Realization *,Software Type *,Software Category,Softex No. *,Invoice No. *,Invoice Date (dd/mm/yyyy) *,HSN/SAC Code,Currency Code *,Export Value *,Commission Amount ,Deduction Amount ,Transmission Amount ,Export Value (INR) *
20180608156255,08-06-2018,CABOODLENOW PTY LTD,20 EDRO AVE BRIGHTON EAST VIC 3187 AUSTRALIA ,AU,3,907,,S22004043641,838,01-07-2022,998314,USD,5000,0,0,0,396000
STPIN/NAPP/20171220/930032/Contract/021,28-12-2018,Surge Marketing Inc.,"671 willow pass rd #1, Pittsburg, CA 94565",US,3,907,,S22004043642,839,01-07-2022,998314,USD,4250,0,0,25,336600
STPIN/NAPP/20171220/930032/Contract/016,01-12-2018,My Germany GmBH,"Nordstr. 5, D-99427, Weimar Germany",DE,3,907,,S22004043643,840,01-07-2022,998314,EUR,9900,0,0,10,806850
20211013247674,13-10-2021,FASHION LINK TRADING PTE. LTD.,78 Duxton Road Singapore,SG,3,907,,S22004043644,841,01-07-2022,998314,USD,1275,0,0,25,100980
20210515211746,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S22004043645,842,01-07-2022,998314,EUR,10275,0,0,25,839262
20200427137403,27-04-2020,The Critical Thinking Co.,"1991 Sherman Ave. Suite 200, North Bend,OR 97459-3469, USA",US,3,907,,S22004043646,843,01-07-2022,998314,USD,1025,0,0,25,81333.75
2019100884827,08-10-2019,Nature’s Source Project,"Unit 106, 4255 Sherwoodtowne Blvd, Mississauga, ON L4Z 2G6",US,3,907,,S22004043647,844,01-07-2022,998314,USD,1275,0,0,25,100980
20220201281442,27-04-2020,Sessions Cannabis Franchises Inc,"3027 Binbrook Road W Bldg B, PO Box 21037, Binbrook, Ontario",CA,3,907,,S22004043648,845,01-07-2022,998314,USD,650,0,0,25,51480
20200703140963,01-07-2020,Eye Plastics LLC,PO BOX 851351 Mobile AL 36685,US,3,907,,S22004043649,846,01-07-2022,998314,USD,1500,0,0,0,119025
20220331295998,31-03-2022,Pronko Consulting,"Kauno G. 3A, LT01310 Vilnius, Lithuania",LT,3,907,,S22004043650,847,01-07-2022,998314,USD,7200,0,0,0,570240
20210515211746,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S22004043651,848,15-07-2022,998314,EUR,10275,0,0,25,831966.75
20220710312919,10-07-2022,Shopstack Co.Ltd,"Unit 1203, Floor 12, 53 Sivatel Tower, Wittayu Road, Lumpini, Patumwan, Bangkok 10330 Thailand",TH,3,907,,S22004043652,849,12-07-2022,998314,USD,1025,0,0,25,81825.75
STPIN/NAPP/20171220/930032/Contract/001,12-09-2016,Upwork Global Inc.,"441 LOGUE AVE, MOUNTAIN VIEW CA 94043-4018",US,3,907,,S22004043653,850,31-07-2022,998314,USD,30976,0,0,0,2454538.24
