Contract No.,Contract Date (dd/mm/yyyy) *,Client Name *,Client Address *,Country Code *,Mode Of Realization *,Software Type *,Software Category,Softex No. *,Invoice No. *,Invoice Date (dd/mm/yyyy) *,HSN/SAC Code,Currency Code *,Export Value *,Commission Amount ,Deduction Amount ,Transmission Amount ,Export Value (INR) *
STPIN/NAPP/20171220/930032/Contract/021,28-12-2018,Surge Marketing Inc.,"671 willow pass rd #1, Pittsburg, CA 94565",US,3,907,,S22004157083,851,01-08-2022,998314,USD,3737,0,0,25,295933.03
STPIN/NAPP/20171220/930032/Contract/016,01-12-2018,My Germany GmbH,"Nordstr. 5, D-99427, Weimar Germany",DE,3,907,,S22004157084,852,01-08-2022,998314,EUR,9910,0,0,10,787646.8
20211013247674,13-10-2021,FASHION LINK TRADING PTE. LTD.,78 Duxton Road Singapore,SG,3,907,,S22004157085,853,01-08-2022,998314,USD,1275,0,0,25,100202.25
20210515211746,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S22004157086,854,01-08-2022,998314,EUR,10275,0,0,25,833302.5
20200427137403,27-04-2020,The Critical Thinking Co.,"1991 Sherman Ave. Suite 200, North Bend,OR 97459-3469, USA",US,3,907,,S22004157087,855,01-08-2022,998314,USD,1775,0,0,25,140562.25
2019100884827,08-10-2019,Nature’s Source Project,"Unit 106, 4255 Sherwoodtowne Blvd, Mississauga, ON L4Z 2G6",US,3,907,,S22004157088,856,01-08-2022,998314,USD,1275,0,0,25,100967.25
20220201281442,27-04-2020,Sessions Cannabis Franchises Inc.,"3027 Binbrook Road W Bldg B, PO Box 21037, Binbrook, Ontario",CA,3,907,,S22004157089,857,01-08-2022,998314,USD,650,0,0,25,51473.5
20200703140963,01-07-2020,Eye Plastics LLC,PO BOX 851351 Mobile AL 36685,US,3,907,,S22004157090,858,01-08-2022,998314,USD,1500,0,0,0,119055
20220331295998,31-03-2022,Pronko Consulting,"Kauno G. 3A, LT01310 Vilnius, Lithuania",LT,3,907,,S22004157091,859,01-08-2022,998314,USD,5321.5,0,0,0,422367.455
20210921260420,21-09-2021,Southern Cross Education Institute ,"155 Boundary Road, North Melbourne, VIC 3051",AU,3,907,,S22004157092,860,10-08-2022,998314,USD,1025,0,0,25,81354.25
20210515211746,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S22004157093,861,15-08-2022,998314,EUR,10275,0,0,25,815526.75
STPIN/NAPP/20171220/930032/Contract/001,12-09-2016,UPWORK ESCROW INC.,"441 LOGUE AVE, MOUNTAIN VIEW CA 94043-4018",US,3,907,,S22004157094,862,31-08-2022,998314,USD,19263,0,0,0,1528904.31
,,,,,,,,,,,,,,,,,
