Contract No.,Contract Date (dd/mm/yyyy) *,Client Name *,Client Address *,Country Code *,Mode Of Realization *,Software Type *,Software Category,Softex No. *,Invoice No. *,Invoice Date (dd/mm/yyyy) *,HSN/SAC Code,Currency Code *,Export Value *,Commission Amount ,Deduction Amount ,Transmission Amount ,Export Value (INR) *
2.01806E+13,08-06-2018,CABOODLENOW PTY LTD,20 EDRO AVE BRIGHTON EAST VIC 3187 AUSTRALIA ,AU,3,907,,S22003553697,765,01-03-2022,998314,USD,5000,0,0,0,379550
STPIN/NAPP/20171220/930032/Contract/021,28-12-2018,Surge Marketing Inc.,"671 willow pass rd #1, Pittsburg, CA 94565",US,3,907,,S22003553698,766,01-03-2022,998314,USD,4210,0,0,25,321013
2.0211E+13,13-10-2021,FASHION LINK TRADING PTE. LTD.,78 Duxton Road Singapore,SG,3,907,,S22003553699,767,01-03-2022,998314,USD,2212.5,0,0,25,172131
2.02004E+13,27-04-2020,The Critical Thinking Co.,"1991 Sherman Ave. Suite 200, North Bend,OR 97459-3469, USA",US,3,907,,S22003553700,768,01-03-2022,998314,USD,1000,0,0,25,77695
2.0191E+12,08-10-2019,Nature’s Source Project,"Unit 106, 4255 Sherwoodtowne Blvd, Mississauga, ON L4Z 2G6",US,3,907,,S22003553701,769,01-03-2022,998314,USD,1250,0,0,25,96645
2.02202E+13,27-04-2020,Sessions Cannabis Franchises Inc.,"3027 Binbrook Road W Bldg B, PO Box 21037, Binbrook, Ontario",CA,3,907,,S22003553702,770,01-03-2022,998314,USD,625,0,0,25,50005
2.02007E+13,01-07-2020,Eye Plastics LLC,PO BOX 851351 Mobile AL 36685,US,3,907,,S22003553703,771,01-03-2022,998314,USD,1500,0,0,0,115290
STPIN/NAPP/20171220/930032/Contract/010,10-09-2018,CAPRINA,"PO Box 6362, Unit 5 / 562 Gardeners Rd, Alexandria NSW Australia 2015",AU,3,907,,S22003553704,772,01-03-2022,998314,USD,1200,0,0,0,91164
2.02105E+13,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S22003553705,773,01-03-2022,998314,EUR,10250,0,0,25,862073
2.02111E+13,19-11-2021,Nebulanine OÜ,Harjumaa 75404 Estonia,EE,3,907,,S22003553706,774,01-03-2022,998314,USD,10725,0,0,25,810228
2.02105E+13,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S22003553707,775,15-03-2022,998314,EUR,10250,0,0,25,859709
STPIN/NAPP/20171220/930032/Contract/001,12-09-2016,UPWORK ESCROW INC.,"441 LOGUE AVE, MOUNTAIN VIEW CA 94043-4018",US,3,907,,S22003553708,776,31-03-2022,998314,USD,38818,0,0,0,2924160
