Contract No.,Contract Date (dd/mm/yyyy) *,Client Name *,Client Address *,Country Code *,Mode Of Realization *,Software Type *,Software Category,Softex No. *,Invoice No. *,Invoice Date (dd/mm/yyyy) *,HSN/SAC Code,Currency Code *,Export Value *,Commission Amount ,Deduction Amount ,Transmission Amount ,Export Value (INR) *
STPIN/NAPP/20171220/930032/Contract/021,28-12-2018,CARCOVERS.COM LLC,"671 willow pass rd #1, Pittsburg, CA 94565",US,3,907,,S23004718399,907,01-01-2023,998314,USD,7503,0,0,25,621848.64
2.0211E+13,13-10-2021,FASHION LINK TRADING PTE. LTD.,78 Duxton Road Singapore,SG,3,907,,S23004718400,908,01-01-2023,998314,USD,1275,0,0,25,105493.5
STPIN/NAPP/20171220/930032/Contract/016,01-12-2018,My Germany GmbH,"Nordstr. 5, D-99427, Weimar Germany",DE,3,907,,S23004718401,909,01-01-2023,998314,EUR,8710,0,0,10,761428.2
2.02105E+13,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S23004718402,910,01-01-2023,998314,EUR,7775,0,0,25,679690.5
2.02004E+13,27-04-2020,The Critical Thinking Co.,"1991 Sherman Ave. Suite 200, North Bend,OR 97459-3469, USA",US,3,907,,S23004718403,911,01-01-2023,998314,USD,2245,0,0,25,185751.3
2.0191E+12,08-10-2019,Nature’s Source Project,"Unit 106, 4255 Sherwoodtowne Blvd, Mississauga, ON L4Z 2G6",US,3,907,,S23004718404,912,01-01-2023,998314,USD,1275,0,0,25,105672
2.02202E+13,27-04-2020,Sessions Cannabis Franchises Inc.,"3027 Binbrook Road W Bldg B, PO Box 21037, Binbrook, Ontario",CA,3,907,,S23004718405,913,01-01-2023,998314,USD,650,0,0,25,52890.5
2.02007E+13,01-07-2020,Eye Plastics LLC,PO BOX 851351 Mobile AL 36685,US,3,907,,S23004718406,914,01-01-2023,998314,USD,1500,0,0,,124320
2.02203E+13,31-03-2022,UBA Pronko Consulting,"Kauno G. 3A, LT01310 Vilnius, Lithuania",LT,3,907,,S23004718407,915,01-01-2023,998314,USD,6931,0,0,,564322.02
2.02301E+13,03-01-2023,CFO Consulting,"Street 686, Zone 51, Building 8, Doha, Qatar ",QA,3,907,,S23004718408,916,03-01-2023,998314,USD,3610,0,0,25,298402.6
2.02105E+13,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S23004718409,917,15-01-2023,998314,EUR,7775,0,0,25,690964.25
STPIN/NAPP/20171220/930032/Contract/001,12-09-2016,UPWORK ESCROW INC.,"441 LOGUE AVE, MOUNTAIN VIEW CA 94043-4018",US,3,907,,S23004718410,918,31-01-2023,998314,USD,18242,,,,1488364.78
