Contract No.,Contract Date (dd/mm/yyyy) *,Client Name *,Client Address *,Country Code *,Mode Of Realization *,Software Type *,Software Category,Softex No. *,Invoice No. *,Invoice Date (dd/mm/yyyy) *,HSN/SAC Code,Currency Code *,Export Value *,Commission Amount ,Deduction Amount ,Transmission Amount ,Export Value (INR) *
STPIN/NAPP/20171220/930032/Contract/021,28-12-2018,Surge Marketing Inc.,"671 willow pass rd #1, Pittsburg, CA 94565",US,3,907,,S23004629060,896,01-12-2022,998314,USD,10242,0,0,25,844145.64
20211013247674,13-10-2021,FASHION LINK TRADING PTE. LTD.,78 Duxton Road Singapore,SG,3,907,,S23004629061,897,01-12-2022,998314,USD,1275,0,0,25,103861.5
20210515211746,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S23004629062,898,01-12-2022,998314,EUR,9650,0,0,25,826136.5
20200427137403,27-04-2020,The Critical Thinking Co.,"1991 Sherman Ave. Suite 200, North Bend,OR 97459-3469, USA",US,3,907,,S23004629063,899,01-12-2022,998314,USD,1605,0,0,25,130647
2019100884827,08-10-2019,Nature’s Source Project,"Unit 106, 4255 Sherwoodtowne Blvd, Mississauga, ON L4Z 2G6",US,3,907,,S23004629064,900,01-12-2022,998314,USD,1275,0,0,25,103568.25
20220201281442,27-04-2020,Sessions Cannabis Franchises Inc.,"3027 Binbrook Road W Bldg B, PO Box 21037, Binbrook, Ontario",CA,3,907,,S23004629065,901,01-12-2022,998314,USD,650,0,0,25,53852.5
20200703140963,01-07-2020,Eye Plastics LLC,PO BOX 851351 Mobile AL 36685,US,3,907,,S23004629066,902,01-12-2022,998314,USD,1500,0,0,0,122700
20220331295998,31-03-2022,UBA Pronko Consulting,"Kauno G. 3A, LT01310 Vilnius, Lithuania",LT,3,907,,S23004629067,903,01-12-2022,998314,USD,7646.75,0,0,0,631850.9525
20210515211746,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S23004629068,904,15-12-2022,998314,EUR,7775,0,0,25,684044.5
STPIN/NAPP/20171220/930032/Contract/016,01-12-2018,My Germany GmbH,"Nordstr. 5, D-99427, Weimar Germany",DE,3,907,,S23004629069,905,01-12-2022,998314,EUR,8710,0,0,10,740350
STPIN/NAPP/20171220/930032/Contract/001,12-09-2016,UPWORK ESCROW INC.,"441 LOGUE AVE, MOUNTAIN VIEW CA 94043-4018",US,3,907,,S23004629070,906,31-12-2022,998314,USD,14005.5,0,0,,1160299.653
