Contract No.,Contract Date (dd/mm/yyyy) *,Client Name *,Client Address *,Country Code *,Mode Of Realization *,Software Type *,Software Category,Softex No. *,Invoice No. *,Invoice Date (dd/mm/yyyy) *,HSN/SAC Code,Currency Code *,Export Value *,Commission Amount ,Deduction Amount ,Transmission Amount ,Export Value (INR) *
STPIN/NAPP/20171220/930032/Contract/021,28-12-2018,Surge Marketing Inc.,"671 willow pass rd #1, Pittsburg, CA 94565",US,3,907,,S22004278090,863,01-09-2022,998314,USD,3705,0,0,25,294992.1
STPIN/NAPP/20171220/930032/Contract/016,01-12-2018,My Germany GmbH,"Nordstr. 5, D-99427, Weimar Germany",DE,3,907,,S22004278091,864,01-09-2022,998314,EUR,8883,0,0,10,707975.1
2.0211E+13,13-10-2021,FASHION LINK TRADING PTE. LTD.,78 Duxton Road Singapore,SG,3,907,,S22004278092,865,01-09-2022,998314,USD,1275,0,0,25,101515.5
2.02105E+13,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S22004278093,866,01-09-2022,998314,EUR,7775,0,0,25,619667.5
2.02004E+13,27-04-2020,The Critical Thinking Co.,"1991 Sherman Ave. Suite 200, North Bend,OR 97459-3469, USA",US,3,907,,S22004278094,867,01-09-2022,998314,USD,1325,0,0,25,105496.5
2.0191E+12,08-10-2019,Nature’s Source Project,"Unit 106, 4255 Sherwoodtowne Blvd, Mississauga, ON L4Z 2G6",US,3,907,,S22004278095,868,01-09-2022,998314,USD,1275,0,0,25,101515.5
2.02202E+13,27-04-2020,Sessions Cannabis Franchises Inc.,"3027 Binbrook Road W Bldg B, PO Box 21037, Binbrook, Ontario",CA,3,907,,S22004278096,869,01-09-2022,998314,USD,650,0,0,25,51753
2.02007E+13,01-07-2020,Eye Plastics LLC,PO BOX 851351 Mobile AL 36685,US,3,907,,S22004278097,870,01-09-2022,998314,USD,1500,0,0,0,119430
2.02203E+13,31-03-2022,Pronko Consulting,"Kauno G. 3A, LT01310 Vilnius, Lithuania",LT,3,907,,S22004278098,871,01-09-2022,998314,USD,5383.2,0,0,0,428610.384
2.02105E+13,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S22004278099,872,15-09-2022,998314,EUR,7925,0,0,25,631622.5
STPIN/NAPP/20171220/930032/Contract/001,12-09-2016,UPWORK ESCROW INC.,"441 LOGUE AVE, MOUNTAIN VIEW CA 94043-4018",US,3,907,,S22004278100,882,30-09-2022,998314,USD,24273,0,0,0,1932616.26
