Contract No.,Contract Date (dd/mm/yyyy) *,Client Name *,Client Address *,Country Code *,Mode Of Realization *,Software Type *,Software Category,Softex No. *,Invoice No. *,Invoice Date (dd/mm/yyyy) *,HSN/SAC Code,Currency Code *,Export Value *,Commission Amount ,Deduction Amount ,Transmission Amount ,Export Value (INR) *
STPIN/NAPP/20171220/930032/Contract/021,28-12-2018,Surge Marketing Inc.,"671 willow pass rd #1, Pittsburg, CA 94565",US,3,907,,S22004397805,873,01-10-2022,998314,USD,4329,0,0,25,356363.28
STPIN/NAPP/20171220/930032/Contract/016,01-12-2018,My Germany GmbH,"Nordstr. 5, D-99427, Weimar Germany",DE,3,907,,S22004397806,874,01-10-2022,998314,EUR,8710,0,0,10,704639
20211013247674,13-10-2021,FASHION LINK TRADING PTE. LTD.,78 Duxton Road Singapore,SG,3,907,,S22004397807,875,01-10-2022,998314,USD,1275,0,0,25,103836
20210515211746,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S22004397808,876,01-10-2022,998314,EUR,7775,0,0,25,628997.5
20200427137403,27-04-2020,The Critical Thinking Co.,"1991 Sherman Ave. Suite 200, North Bend,OR 97459-3469, USA",US,3,907,,S22004397809,877,01-10-2022,998314,USD,1425,0,0,25,116052
2019100884827,08-10-2019,Nature’s Source Project,"Unit 106, 4255 Sherwoodtowne Blvd, Mississauga, ON L4Z 2G6",US,3,907,,S22004397810,878,01-10-2022,998314,USD,1275,0,0,25,104078.25
20220201281442,27-04-2020,Sessions Cannabis Franchises Inc.,"3027 Binbrook Road W Bldg B, PO Box 21037, Binbrook, Ontario",CA,3,907,,S22004397811,879,01-10-2022,998314,USD,650,0,0,25,51967.5
20200703140963,01-07-2020,Eye Plastics LLC,PO BOX 851351 Mobile AL 36685,US,3,907,,S22004397812,880,01-10-2022,998314,USD,1500,0,0,0,122445
20220331295998,31-03-2022,Pronko Consulting,"Kauno G. 3A, LT01310 Vilnius, Lithuania",LT,3,907,,S22004397813,881,01-10-2022,998314,USD,5328.3,0,0,0,439584.75
20210515211746,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S22004397814,883,15-10-2022,998314,EUR,7775,0,0,25,628220
STPIN/NAPP/20171220/930032/Contract/001,12-09-2016,UPWORK ESCROW INC.,"441 LOGUE AVE, MOUNTAIN VIEW CA 94043-4018",US,3,907,,S22004397815,884,31-10-2022,998314,USD,27222,0,0,0,2236559.52
