Contract No.,Contract Date (dd/mm/yyyy) *,Client Name *,Client Address *,Country Code *,Mode Of Realization *,Software Type *,Software Category,Softex No. *,Invoice No. *,Invoice Date (dd/mm/yyyy) *,HSN/SAC Code,Currency Code *,Export Value *,Commission Amount ,Deduction Amount ,Transmission Amount ,Export Value (INR) *
STPIN/NAPP/20171220/930032/Contract/021,28-12-2018,Surge Marketing Inc.,"671 willow pass rd #1, Pittsburg, CA 94565",US,3,907,,S22004489605,885,01-11-2022,998314,USD,3769,0,0,25,311613.382
STPIN/NAPP/20171220/930032/Contract/016,01-12-2018,My Germany GmbH,"Nordstr. 5, D-99427, Weimar Germany",DE,3,907,,S22004489606,886,01-11-2022,998314,EUR,8710,0,0,10,708336.395
20211013247674,13-10-2021,FASHION LINK TRADING PTE. LTD.,78 Duxton Road Singapore,SG,3,907,,S22004489607,887,01-11-2022,998314,USD,1275,0,0,25,105636.3
20210515211746,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S22004489608,888,01-11-2022,998314,EUR,7775,0,0,25,632297.9875
20200427137403,27-04-2020,The Critical Thinking Co.,"1991 Sherman Ave. Suite 200, North Bend,OR 97459-3469, USA",US,3,907,,S22004489609,889,01-11-2022,998314,USD,2295,0,0,25,190145.34
2019100884827,08-10-2019,Nature’s Source Project,"Unit 106, 4255 Sherwoodtowne Blvd, Mississauga, ON L4Z 2G6",US,3,907,,S22004489610,890,01-11-2022,998314,USD,1275,0,0,25,105414.45
20220201281442,27-04-2020,Sessions Cannabis Franchises Inc.,"3027 Binbrook Road W Bldg B, PO Box 21037, Binbrook, Ontario",CA,3,907,,S22004489611,891,01-11-2022,998314,USD,650,0,0,25,52883.74
20200703140963,01-07-2020,Eye Plastics LLC,PO BOX 851351 Mobile AL 36685,US,3,907,,S22004489612,892,01-11-2022,998314,USD,1500,0,0,0,122039.4
20220331295998,31-03-2022,UBA Pronko Consulting,"Kauno G. 3A, LT01310 Vilnius, Lithuania",LT,3,907,,S22004489613,893,01-11-2022,998314,USD,4811,0,0,0,387519.3146
20210515211746,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S22004489614,894,15-11-2022,998314,EUR,11400,0,0,25,968518.92
STPIN/NAPP/20171220/930032/Contract/001,12-09-2016,UPWORK ESCROW INC.,"441 LOGUE AVE, MOUNTAIN VIEW CA 94043-4018",US,3,907,,S22004489615,895,30-11-2022,998314,USD,26099,0,0,,2152501.976
