Contract No.,Contract Date (dd/mm/yyyy) *,Client Name *,Client Address *,Country Code *,Mode Of Realization *,Software Type *,Software Category,Softex No. *,Invoice No. *,Invoice Date (dd/mm/yyyy) *,HSN/SAC Code,Currency Code *,Export Value *,Commission Amount ,Deduction Amount ,Transmission Amount ,Export Value (INR) *
2.01806E+13,08-06-2018,CABOODLENOW PTY LTD,20 EDRO AVE BRIGHTON EAST VIC 3187 AUSTRALIA ,AU,3,907,,S22003676102,801,01-04-2022,998314,USD,5000,0,0,0,379550
STPIN/NAPP/20171220/930032/Contract/021,28-12-2018,Surge Marketing Inc.,"671 willow pass rd #1, Pittsburg, CA 94565",US,3,907,,S22003676103,802,01-04-2022,998314,USD,4157.5,0,0,25,313683.375
2.0211E+13,13-10-2021,FASHION LINK TRADING PTE. LTD.,78 Duxton Road Singapore,SG,3,907,,S22003676104,803,01-04-2022,998314,USD,1562.5,0,0,25,118250
2.02004E+13,27-04-2020,The Critical Thinking Co.,"1991 Sherman Ave. Suite 200, North Bend,OR 97459-3469, USA",US,3,907,,S22003676105,804,01-04-2022,998314,USD,1025,0,0,25,77736
2.0191E+12,08-10-2019,Nature’s Source Project,"Unit 106, 4255 Sherwoodtowne Blvd, Mississauga, ON L4Z 2G6",US,3,907,,S22003676106,805,01-04-2022,998314,USD,1275,0,0,25,96492
2.02202E+13,27-04-2020,Sessions Cannabis Franchises Inc.,"3027 Binbrook Road W Bldg B, PO Box 21037, Binbrook, Ontario",CA,3,907,,S22003676107,806,01-04-2022,998314,USD,650,0,0,25,49445.5
2.02007E+13,01-07-2020,Eye Plastics LLC,PO BOX 851351 Mobile AL 36685,US,3,907,,S22003676108,807,01-04-2022,998314,USD,1500,0,0,0,113955
2.02105E+13,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S22003676109,808,01-04-2022,998314,EUR,10275,0,0,25,853852.5
2.02111E+13,19-11-2021,Nebulanine OÜ,Harjumaa 75404 Estonia,EE,3,907,,S22003676110,809,01-04-2022,998314,USD,8499,0,0,25,645244.08
STPIN/NAPP/20171220/930032/Contract/016,01-12-2018,My Germany GmbH,"Nordstr. 5, D-99427, Weimar Germany",DE,3,907,,S22003676111,810,01-04-2022,998314,EUR,3524,0,0,10,283999.16
STPIN/NAPP/20171220/930032/Contract/016,01-12-2018,My Germany GmbH,"Nordstr. 5, D-99427, Weimar Germany",DE,3,907,,S22003676112,811,01-04-2022,998314,EUR,8710,0,0,10,723713.9
2.02105E+13,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S22003676113,812,15-04-2022,998314,EUR,10275,0,0,25,842241.75
STPIN/NAPP/20171220/930032/Contract/001,12-09-2016,UPWORK ESCROW INC.,"441 LOGUE AVE, MOUNTAIN VIEW CA 94043-4018",US,3,907,,S22003676114,813,30-04-2022,998314,USD,36091,0,0,0,2787307.93
